communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
Eunicecity,LA,,,,11162,2.8,26.96,72.26,0.4,0.78,15.43,26.03,12.04,12.78,,,14874,62.83,0.8,20.56,33.58,18.81,11.52,19434,7635,9048,3617,6319,39010,29572,7060,4173,38.27,23.94,44.84,10.82,13.93,42.8,7.98,30.42,14.6,23.57,8.97,25.84,12.76,11.08,3.32,67.27,62.57,68.65,66.57,50.91,50.89,667,5.78,25,,,,28,,,,0.06,65.56,2.4,,6.59,2.74,2.68,2.86,63.1,7.17,40.73,,410,90.68,64.53,7.32,47.8,1963,14.35,0.64,24500,39100,56400,31900,114,165,226,112,261,28.6,23,15.3,,,0.22,93.09,62.57,89.93,98.48,,,,,,,,,,,,,,,,,,4.8,2323.5,0.78,,,,,,,1487.34
Laredocity,TX,,,,122899,3.84,0.12,70.83,0.38,93.87,19.93,33.12,16.79,7.32,122899,100,18395,79.18,1.17,18.24,22.73,16.71,7.95,19910,6981,7674,2922,5577,13361,5195,6331,45126,37.29,36.26,51.16,11.63,11.24,51.36,5.4,23.07,14.83,21.99,6.18,32.64,10.95,8.73,4.16,75.51,67.71,84.14,75.33,48.23,52.73,3070,2.8,29945,14.07,21.62,29.66,39.74,3.43,5.27,7.23,9.68,8.15,21.64,21.34,18.23,3.78,3.95,3.54,61.58,26.43,53.73,,1969,94.21,58.96,6.4,42.25,1972,12.42,2.11,33700,52500,75000,41300,161,245,339,178,315,27.6,22.6,12.8,,,24.37,67.12,60.11,86.08,91.7,188,123.09,163,106.72,150000,98208.7,797.9,123.1,95.47,1.6,,98.4,,98.4,,,160.7,34.1,3608.7,3.55,90,6357675,86.7,,4.26,41625.3,689.42
Amsterdamcity,NY,57,2066,,20714,2.36,1.46,93.15,0.56,11.61,11.35,23.13,11.19,21.15,,,22166,65,0.32,47.13,43.79,7.08,21.6,29893,11991,12228,15778,,15243,6326,7427,2756,13.5,12.54,31.33,12.33,8.97,52.65,23.6,25.83,19.07,22.91,9.34,29.7,11.8,10.7,2.96,65.74,62.69,67.57,70.4,59.49,69.23,529,3.28,1250,10.56,18.96,21.6,25.28,0.64,1.14,1.3,1.53,78.98,2.49,4.07,2.62,2.33,2.45,2.21,53.56,1.79,36.94,,713,92.49,50.94,2.1,59.05,1939,6.72,0.66,53400,71000,91900,38500,172,240,303,131,337,24.7,18.6,14.5,,,6.03,81.86,61.42,85.56,93.76,,,,,,,,,,,,,,,,,,6.2,3353.7,2.6,,,,,,,49.93
Gorhamtown,ME,,28240,,11856,3.03,0.37,98.84,0.4,0.45,20.11,31.45,19.01,8.63,3929,33.1,36618,83.22,1.2,51.29,22.01,4.56,14.76,40809,14049,14119,10291,9093,11443,18000,6328,436,4.05,3.9,13.97,26,5.73,67.68,14.71,28.53,13.59,28.01,7.33,32.57,10.65,9.06,3.15,80.48,78.23,94.1,77.23,70.68,78.54,56,0.72,306,2.61,4.9,14.05,18.95,0.07,0.13,0.36,0.49,95.94,0.24,3.62,2.78,2.77,2.9,2.27,83.55,1.2,38.37,,134,96.69,79.89,,42.54,1968,1.17,0.71,94100,119800,159000,64900,351,452,552,201,526,28,23.5,12.6,,,2.58,71.76,51.97,79.39,91.47,,,,,,,,,,,,,,,,,,52.5,225.9,0.88,,,,,,,16.72
RockSpringscity,WY,,,,19050,2.67,1.17,94.31,0.96,7.46,15.43,26.48,11.73,8.64,,,34372,83.58,1.11,40.93,20.87,5.74,12.84,41095,14767,15066,9288,12726,11497,8657,9016,1661,8.87,5.6,17.5,14.84,5.13,67.09,7.72,19.53,14.84,21.27,11.57,25,12.21,11.89,3.22,78.88,77.97,85.49,86.8,59.43,68.72,149,1.06,327,,,,3.06,,,,0.05,93.22,0.61,5.33,3.73,2.65,2.81,2.31,71.4,2.83,46.05,,929,88.47,67.27,7.53,52.42,1972,3.51,0.81,55600,71800,89600,34000,210,282,359,149,348,19,17.5,11.3,,,1.72,48.45,54.59,83.65,89.98,,,,,,,,,,,,,,,,,,19.1,998.4,5.76,,,,,,,649.83
Oakdalecity,CA,,,,11961,2.71,0.24,88.57,1.11,17.04,13.37,26.84,13.03,12.98,,,27230,73.45,1.88,33.34,28.75,13.22,18.4,30357,11994,12334,17759,17930,8531,8032,8180,1486,12.63,12.32,30.95,9.97,10.34,54.22,19.74,18.37,17.94,18.21,12.03,24.17,16.32,14.31,3.12,70.31,67.82,80.88,74.89,54.16,61.73,248,2.51,976,14.24,20.59,30.64,37.7,1.16,1.68,2.5,3.08,86.3,3.08,5.56,4.07,2.67,2.62,2.73,55.37,7.42,49.8,,185,95.98,56.37,1.08,21.08,1972,3.3,0.11,83000,108900,145000,62000,315,395,497,182,472,28.7,21.4,12.4,11,,8.16,62.95,39.82,76.72,94.06,,,,,,,,,,,,,,,,,,4.2,2853.3,,,,,,,,346.97
Hendersoncity,NC,,,,15655,2.6,52.88,46.59,0.19,0.54,14.42,26.09,12.94,15.02,,,18499,75,0.69,24.1,34.68,13.17,14.45,21753,10912,15763,6624,2500,34000,5120,6614,3699,24.07,21.8,43.91,11.92,7.91,57.23,32.28,20.54,28.7,19.28,11.55,33.05,16.06,14.13,3.1,49.68,42.97,50.51,49.82,66.97,75.86,1450,9.53,181,11.6,26.52,26.52,37.02,0.13,0.31,0.31,0.43,96.9,0.68,6.31,4.4,2.54,2.46,2.63,50.62,5.05,46.78,,429,93.34,52.29,4.9,45.45,1960,12.61,1.45,33800,50800,74400,40600,116,180,249,133,316,29.5,18.5,13.9,,,1.15,81.21,57.15,86.06,91.66,,,,,,,,,,,,,,,,,,7.3,2134,0.11,,,,,,,1770.94
Norcocity,CA,,,,23302,4.17,7.95,82.42,1.36,19.55,14.06,30.74,14.58,4.44,23302,100,51594,88.74,2.55,38.24,17.3,5.92,12.75,52659,15142,16771,4590,6108,12843,9406,9872,973,5.34,4.93,24.25,10.32,5.1,48.14,21.21,14.52,14.49,23.72,8.43,42.59,12.03,9.94,3.49,82.9,75.36,88.3,80.68,48.57,57.79,536,3.46,1672,6.76,16.87,18.66,33.19,0.48,1.21,1.34,2.38,84.6,2.25,10.56,8.94,3.27,3.29,3.19,82.83,6.06,22.51,,193,96.66,82.4,3.63,26.42,1970,2.5,0.24,153000,203400,259300,106300,458,617,843,385,714,28.2,25.1,11.9,,,7.18,58.08,45.88,59.47,94.53,,,,,,,,,,,,,,,,,,14.2,1641.4,0.27,,,,,,,609.81
Greenvillecity,MS,,,,45226,2.95,59.63,39.76,0.43,0.56,17.15,28.12,13.63,10.96,,,18060,71.26,0.58,20.33,30.07,18.48,11.31,23068,9081,14683,5359,2400,11710,6929,4936,14232,31.96,18.51,38.54,15.58,12.45,51.79,19.98,25.33,19,23.16,11.72,35.15,14.97,13.52,3.49,52.47,42.18,56.12,54.33,67.29,73.08,5134,12.32,250,19.6,32.8,44.4,44.4,0.11,0.18,0.25,0.25,97.37,0.21,11.3,8.31,2.91,2.89,2.93,57.98,9.73,45.71,,1170,92.91,58.32,12.14,37.26,1965,11.02,0.83,29100,42500,60000,30900,132,207,295,163,332,32.3,21.1,15,,,0.55,84.59,59.55,88.62,93.77,,,,,,,,,,,,,,,,,,27,1672.6,0.24,,,,,,,559.55
SanCarloscity,CA,,,,26167,2.37,0.94,91.3,6.07,6.46,9.03,19.36,8.48,14.25,26167,100,54658,77.85,0.52,62.49,25.65,2.52,18.84,63337,28161,28647,27282,20295,23416,17992,20889,713,2.73,2.43,8.38,35.77,2.43,69.33,16.34,23.36,6.28,39.23,9.48,24.71,12.87,11.26,2.82,82.5,81.21,91.83,77.66,62.67,71,91,0.58,3283,6.37,10.63,17.42,25.43,0.8,1.33,2.19,3.19,84,1.64,2.14,1.48,2.36,2.48,2.06,75.92,1.98,44.78,,294,97.41,72.37,0.68,21.09,1957,0.56,,328100,407500,500001,171901,611,744,972,361,810,26.6,27.7,11.9,,,12.55,55.31,58.4,82.21,92.84,,,,,,,,,,,,,,,,,,5.8,4486.8,3.98,,,,,,,205.56
